Spanish,English
de,from
la,the
que,what
el,the
en,in
y,Y
a,a
los,the
se,I know
del,of the
las,the
un,an
por,for
con,with
no,not
una,a
su,his
para,for
es,it is
al,to the
lo,it
como,What
más,plus
o,either
pero,but
sus,their
le,you
ha,he has
me,I
si,Yes
sin,without
sobre,on
este,East
ya,Already
entre,Come in
cuando,when
todo,everything
esta,is
ser,be
son,are
dos,two
también,also
fue,It was
había,there was
era,it was
muy,very
años,years
hasta,until
desde,from
está,is
mi,me
porque,because
qué,than
sólo,single
han,they have
yo,I
hay,there is
vez,time
puede,may
todos,everyone
así,So
nos,us
ni,neither
parte,part
tiene,have
él,the
uno,one
donde,where
bien,well
tiempo,weather
mismo,same
ese,that
ahora,now
cada,every
e,and
vida,lifetime
otro,other
después,later
te,tea
otros,others
aunque,although
esa,that
eso,that
hace,does
otra,other
gobierno,government
tan,so
durante,during
siempre,forever
día,day
tanto,so much
ella,she
tres,three
sí,Yes
dijo,said
sido,been
gran,great
país,country
según,according to
menos,less
mundo,world
año,year
antes,before
estado,condition
contra,against
sino,otherwise
forma,way
caso,case
nada,any
hacer,make
general,general
estaba,was
poco,bit
estos,these
presidente,President
mayor,elder
ante,in view of
unos,some
les,them
algo,something
hacia,toward
casa,House
ellos,they
ayer,Yesterday
hecho,done
primera,first
mucho,much
mientras,while
además,what's more
quien,who
momento,moment
millones,millions
esto,this
españa,Spain
hombre,men
están,is it so
pues,then
hoy,today
lugar,place
madrid,Madrid
nacional,national
trabajo,worked
otras,Others
mejor,best
nuevo,new
decir,tell
algunos,Some
entonces,so
todas,all
días,days
debe,has to
política,politics
cómo,as
casi,almost
toda,all
tal,such
luego,later
pasado,last
primer,first
medio,"means, medium"
va,goes
estas,are
sea,be
tenía,I had
nunca,never
poder,can
aquí,here
ver,watch
veces,times
embargo,embargo
partido,match
personas,persons
grupo,group
cuenta,bill
pueden,they can
tienen,have
misma,one.
nueva,new
cual,which
fueron,were
mujer,women
frente,front
josé,Joseph
tras,after
cosas,stuff
fin,The end
ciudad,town
he,He.
social,Social
manera,way
tener,have
sistema,system
será,will be
historia,history
muchos,Many
juan,John
tipo,type
cuatro,four
dentro,inside
nuestro,our
punto,point
dice,He says
ello,it
cualquier,any
noche,evening
aún,still
agua,Water
parece,It seems
haber,to have
situación,situation
fuera,out
bajo,under
grandes,large
nuestra,our
ejemplo,example
acuerdo,agreement
habían,They had
usted,you
estados,state
hizo,made
nadie,no one
países,Countries
horas,hours
posible,possible
tarde,afternoon
ley,law
importante,important
guerra,war
desarrollo,growth
proceso,process
realidad,reality
sentido,sense
lado,side
mí,my
tu,you
cambio,change
allí,over there
mano,hand
eran,they were
estar,to be
san,saint
número,number
sociedad,society
unas,nail
centro,hub
padre,father
gente,people
final,final
relación,relationship
cuerpo,body
obra,construction site
incluso,even
través,through
último,latest
madre,mother
mis,MIS
modo,mode
problemas,problems
cinco,five
carlos,Charles
hombres,mens
información,information
ojos,eyes
muerte,death
nombre,Name
algunas,some
público,public
mujeres,women
siglo,century
todavía,yet
meses,months
mañana,morning
esos,those
nosotros,us
hora,time
muchas,many
pueblo,village
alguna,some
dar,give
problema,issue
don,Don
da,gives
tú,your
derecho,straight
verdad,TRUE
maría,Mary
unidos,United
podría,I might
sería,would
junto,together
cabeza,head
aquel,that
luis,Lewis
cuanto,how much
tierra,land
equipo,team
segundo,second
director,director
dicho,saying
cierto,TRUE
casos,Cases
manos,hands
nivel,level
podía,I could
familia,family
largo,long
partir,leaving
falta,lack
llegar,get
propio,own
ministro,Minister
cosa,stuff
primero,first
seguridad,security
hemos,we have
mal,evil
trata,treats
algún,some
tuvo,had
respecto,regard
semana,week
varios,various
real,real
sé,HE
voz,voice
paso,He passed
señor,mister
mil,one thousand
quienes,who
proyecto,draft
mercado,market
mayoría,most
luz,light
claro,Sure
iba,I was going
éste,East
pesetas,pesetas.
orden,order
español,Spanish
buena,good
quiere,wants
aquella,that
programa,Program
palabras,words
internacional,international
van,go
esas,those
segunda,second
empresa,business
puesto,Market Stall
ahí,there
propia,own
m,M.
libro,book
igual,Same
político,politician
persona,person
últimos,last.
ellas,they
total,total
creo,believe
tengo,have
dios,god
c,C.
española,Spanish
condiciones,terms
méxico,Mexico
fuerza,strength
solo,only
único,unique
acción,action
amor,love
policía,policeman
puerta,door
pesar,weigh
zona,zone
sabe,knows
calle,street
interior,inside
tampoco,either
música,music
ningún,No.
vista,view
campo,countryside
buen,good
hubiera,had
saber,to know
obras,plays
razón,reason
ex,ex
niños,kids
presencia,presence
tema,topic
dinero,money
comisión,commission
antonio,Antonio
servicio,service
hijo,son
última,last.
ciento,hundred
estoy,I'm
hablar,to talk
dio,gave
minutos,minutes
producción,production
camino,path
seis,six
quién,whose
fondo,bottom
dirección,address
papel,paper
demás,the rest
barcelona,Barcelona
idea,idea
especial,special
diferentes,different
dado,dice
base,base
capital,capital
ambos,Both
europa,Europe
libertad,freedom
relaciones,relations
espacio,space
medios,media
ir,to go
actual,current
población,population
empresas,Business
estudio,study
salud,Health
servicios,services
haya,is
principio,beginning
siendo,being
cultura,culture
anterior,previous
alto,high
media,half
mediante,through
primeros,First
arte,art
paz,peace
sector,sector
imagen,image
medida,extent
deben,they should
datos,data
consejo,tip
personal,staff
interés,interest
julio,July
grupos,Groups
miembros,members
ninguna,none
existe,exists
cara,expensive
edad,age
etc,etc
movimiento,movement
visto,seen
llegó,I arrive
puntos,points
actividad,exercise
bueno,well
uso,use
niño,little boy
difícil,hard
joven,young
futuro,future
aquellos,those
mes,month
pronto,early
soy,am
hacía,toward
nuevos,new
nuestros,our
estaban,were
posibilidad,possibility
sigue,follow
cerca,close
resultados,results
educación,education
atención,attention
gonzález,González.
capacidad,ability
efecto,effect
necesario,necessary
valor,worth
aire,air
investigación,research
siguiente,Next
figura,figure
central,central
comunidad,community
necesidad,need
serie,Serie
organización,organization
nuevas,New ones
calidad,quality
economía,economy
carácter,character
jefe,boss
estamos,we're
prensa,press
control,control
sociales,social
universidad,college
militar,military
cabo,cape
diez,ten
fuerzas,forces
congreso,congress
ésta,is
hijos,sons
justicia,Justice
mundial,world
dólares,Dollars
juego,match
económica,economic
políticos,politicians
duda,doubt
recursos,means
pública,Public
crisis,crisis
próximo,next
tenemos,we have
decisión,decision
varias,several
popular,popular
tenido,Dyed
apenas,barely
época,epoch
banco,bank
presente,Present
menor,minor
quiero,I want
pasar,happen
resultado,Outcome
televisión,television
encuentra,find
gracias,thank you
ministerio,ministry
conjunto,set
defensa,defending
alguien,somebody
queda,is left over
hacen,make
pasa,pass
resto,rest
causa,cause
seguir,"follow, continue"
allá,there
palabra,word
voy,go
cuya,whose
vamos,we go
mar,sea
estudios,studies
derechos,Rights
importancia,importance
cuales,which
contrario,contrary
manuel,Manuel
garcía,Garcia
fuerte,strong
sol,sun
jóvenes,youths
apoyo,support
habría,there would be
civil,civil
miguel,Michael
pedro,Peter
partidos,matches
libre,free
fuentes,sources
administración,management
común,common
dejar,let
cine,cinema
salir,go out
comunicación,communication
b,B.
experiencia,experience
demasiado,too
plan,plan
respuesta,response
energía,Energy
izquierda,left
función,function
principal,major
superior,superior
naturaleza,nature
podemos,can
unión,Union
especialmente,especially
rey,king
domingo,Sunday
favor,favour
cantidad,amount
elecciones,elections
clase,class
productos,products
españoles,Spanish people
conocer,know
teatro,theater
importantes,important
evitar,avoid
color,colour
actividades,activities
mesa,desk
p,P.
decía,He said
cuyo,whose
debido,due
alta,high
francisco,Francisco
secretario,secretary
objeto,object
quizá,maybe
posición,position
parecía,looked like
natural,natural
elementos,items
hubo,was
objetivo,objective
formas,shapes
única,only
pueda,can.
origen,origin
blanco,white
mismos,same.
lleva,carries
económico,economic
opinión,opinion
ayuda,help
oficial,official
silencio,silence
buenos,good ones
pensar,to think
república,republic
dónde,where
sangre,blood
encuentro,meeting
siquiera,even
autor,Author
reunión,meeting
haciendo,doing
suelo,floor
muestra,sample
viejo,old
encima,above
resulta,result
tomar,take
bastante,quite
siete,seven
lucha,struggle
pudo,he could
amigos,friends
línea,line
sur,south
pocos,few
medidas,measures
norte,north
partes,Parties
iglesia,church
tratamiento,treatment
existencia,existence
cargo,position
grande,big
américa,America
boca,mouth
plaza,square
pie,foot
trabajadores,Workers
poner,place
existen,exist
viene,comes
permite,It allows
análisis,analysis
argentina,Argentina
acto,act
hechos,acts
tiempos,time
políticas,Policies
radio,radio
puedo,may l
crecimiento,growth
francia,France
compañía,company
amigo,dude
autoridades,authorities
realizar,realize
acciones,Actions
padres,parents
diario,newspaper
ve,go
derecha,right
ambiente,environment
i,I.
habrá,there will be
precisamente,precisely
enfermedad,illness
especie,species
ejército,army
santa,Santa
cambios,changes
río,River
sabía,I knew
seguro,sure
espera,waiting
momentos,moments
viaje,ride
quería,wanted
ocho,Eight
vivir,to live
región,region
formación,training
escuela,school
cuarto,fourth
valores,values
quedó,It was left
participación,stake
éxito,success
baja,low
artículo,Article
principales,Main
fernando,Fernando.
metros,meters
marcha,March
régimen,regime
consecuencia,consequence
conocimiento,knowledge
corazón,heart
campaña,campaign
estructura,structure
efectos,effects
finalmente,Finally
modelo,model
carta,letter
construcción,construction
médico,medical
miedo,fear
mayores,greater
entrada,entry
humanos,humans
sean,Sean.
actitud,attitude
deja,leaves
dejó,let
d,D.
llevar,bring
negro,black
texto,text
mitad,half
estuvo,he was
alrededor,around
acerca,about
peso,weight
humano,human
pequeño,short
fecha,date
serán,will be
doctor,doctor
ideas,Ideas
vino,wine
materia,matter
llega,arrives
carrera,race
cierta,certain
sola,alone
psoe,PSOE.
lejos,far
juez,judge
características,features
riesgo,risk
fácil,easy
diferencia,difference
cultural,cultural
libros,books
práctica,practice
mayo,may
nuestras,ours
programas,programs
memoria,memory
llegado,arrived
plazo,term
expresión,expression
diciembre,december
mantener,maintain
enero,January
volver,return
cuadro,picture
producto,product
produce,produces
europea,European
conciencia,awareness
tenían,They had
atrás,behind
felipe,Felipe.
creación,creation
chile,Chile
precio,price
película,movie
puerto,port
fuego,fire
cuestión,question
pasó,He passed
costa,coast
supuesto,supposed
local,local
habla,speech
aspectos,aspects
cuba,Cuba
sala,living
cámara,camera
vuelta,lap
vía,via
mirada,look
mejores,top
informe,report
unidad,Unit
distintos,Differentos
suerte,luck
tales,such
mira,look
llamado,called
técnica,technique
título,title
s,S.
principios,beginning
octubre,october
volvió,went back
período,period
g,G.
encontrar,find
democracia,democracy
aumento,increase
fútbol,soccer
prueba,Test
consumo,consumption
pese,I weighed
ocasiones,occasions
exterior,Exterior
solución,solution
u,or
hija,daughter
sueño,sleep
parís,Paris
capaz,capable
ocasión,chance
industria,industry
adelante,go ahead
salida,exit
ciencia,science
asunto,business
asociación,association
puso,put
intereses,interests
oro,Prayed
podrá,can.
pregunta,Question
oposición,opposition
entrar,get in
señora,madam
señaló,he pointed
santiago,Santiago
dolor,pain
zonas,Zones
comercio,trade
operación,operation
tribunal,court
instituciones,institutions
temas,topics
militares,military
junio,June
marco,framework
sectores,sectors.
hacerlo,do it
aspecto,appearance
razones,reasons
contenido,content
juicio,judgment
electoral,electoral
considera,considers
tendrá,will have
mucha,a lot
voluntad,Will
dicen,they say
recuerdo,memory
socialista,socialist
área,area
aparece,appear
vio,saw
cama,bed
aun,yet
presenta,presentment
pp,pp.
revolución,revolution
busca,search
abril,april
rodríguez,Rodríguez.
fiscal,fiscal
lópez,Lopez.
victoria,victory
violencia,violence
primeras,First
pequeña,small
armas,weapons
debía,should
ii,II.
esfuerzo,effort
humana,Humana
posibilidades,possibilities
centros,centers
profesional,professional
asimismo,in addition
grado,grade
has,HAS.
toma,taking
distintas,Differentos
material,material
carne,meat
llama,calls
particular,particular
jorge,George
trabajar,to work
propuesta,proposal
muerto,dead
precios,prices
reforma,reform
hermano,brother
corte,court
comenzó,started
etapa,stage
obstante,Letter
pone,places
diversos,Diversery
visita,visit
concepto,concept
pacientes,patients.
semanas,weeks
tipos,types
solamente,only
deseo,desire
sistemas,Systems
encuentran,Find
siguientes,following
martín,Martin
suficiente,enough
marzo,March
propios,Own
jamás,Never
dan,Dan.
club,club
instituto,Institute
constitución,Constitution
curso,course
lenguaje,language
estilo,style
rosa,pink
imposible,impossible
pablo,Paul
buscar,search for
peor,worse
piel,fur
arriba,up
generales,general
septiembre,September
blanca,white
r,R.
aquellas,those
teoría,theory
animales,animals
hicieron,they made
larga,long
perdido,lost
imágenes,images
paciente,patient
conseguir,get
máximo,maximum
noviembre,November
j,J.
líder,Leader
hospital,hospital
diversas,diverse
rafael,Rafael.
vuelve,returns
destino,destination
torno,turnstile
proyectos,Projects
flores,flowers
niveles,levels
afirmó,he claimed
explicó,He explained
n,N.
somos,we are
términos,terms
premio,reward
tercera,third
